step,file,event,trigger,trigger_kind,stage,acc_before,acc_after,pos,neg,lat,correlated_detail
71,20260717_134050.txt,correction,detect_user_completed_transfer_wiping,categorical,Table prefs / feeding loop,0,1,1,0,0,robot_speed:medium->fast(POS)
72,20260717_134121.txt,correction,robot_speed,categorical,Initial,1,0,0,0,0,
73,20260717_134148.txt,correction,,,,0,0,0,0,0,
74,20260717_134225.txt,correction,confirm_navigation_arrival,categorical,Initial,0,0,0,0,0,
75,20260717_134301.txt,correction,detect_user_completed_transfer_wiping,categorical,Table prefs / feeding loop,0,0,0,0,0,
76,20260717_134335.txt,correction,,,,0,0,0,0,0,
77,20260717_134428.txt,correction,confirm_feeding_pickup,categorical,Table prefs / feeding loop,0,0,0,0,0,
78,20260717_134520.txt,correction,confirm_manipulation,categorical,Initial,0,0,0,0,0,
79,20260717_134607.txt,correction,robot_speed,categorical,Initial,0,1,0,0,0,
80,20260717_134653.txt,correction,wait_before_autocontinue_mealprep,?,?,1,1,0,0,0,
81,20260717_134725.txt,correction,wait_before_autocontinue_task_selection,categorical,Table prefs / feeding loop,1,1,0,0,0,
82,20260717_134759.txt,correction,,,,1,1,0,0,0,
83,20260717_134837.txt,correction,bite_ordering,text,Table prefs / feeding loop,1,1,0,0,0,
84,20260717_134912.txt,correction,robot_speed,categorical,Initial,1,0,0,0,0,
85,20260717_134952.txt,correction,confirm_navigation_arrival,categorical,Initial,0,0,0,0,0,
86,20260717_135022.txt,correction,,,,0,0,0,0,0,
87,20260717_135105.txt,correction,confirm_navigation_arrival,categorical,Initial,0,1,1,0,0,robot_speed:medium->fast(POS)
88,20260717_135143.txt,correction,robot_speed,categorical,Initial,1,0,0,0,0,
89,20260717_135210.txt,correction,,,,0,0,0,0,0,
90,20260717_135246.txt,correction,detect_user_completed_transfer_wiping,categorical,Table prefs / feeding loop,0,0,0,0,0,
91,20260717_135314.txt,correction,,,,0,0,0,0,0,
92,20260717_135344.txt,correction,robot_speed,categorical,Initial,0,1,0,0,0,
93,20260717_135417.txt,correction,wait_before_autocontinue_mealprep,?,?,1,1,0,0,0,
94,20260717_135448.txt,correction,,,,1,1,0,0,0,
95,20260717_135529.txt,correction,wait_before_autocontinue_mealprep,?,?,1,1,0,0,0,
96,20260717_135605.txt,correction,robot_speed,categorical,Initial,1,0,0,0,0,
97,20260717_135644.txt,correction,,,,0,0,0,0,0,
98,20260717_135722.txt,correction,robot_speed,categorical,Initial,0,1,0,0,0,
99,20260717_135805.txt,correction,wait_before_autocontinue_mealprep,?,?,1,1,0,0,0,
100,20260717_135845.txt,correction,bite_ordering,text,Table prefs / feeding loop,1,1,0,0,0,
101,20260717_135916.txt,correction,bite_dipping_preference,categorical,Table prefs / feeding loop,1,1,0,0,0,
102,20260717_135939.txt,correction,,,,1,0,0,0,0,
103,20260717_140011.txt,correction,,,,0,0,0,0,0,
104,20260717_140039.txt,correction,robot_speed,categorical,Initial,0,1,0,0,0,
